energy=-0.499862044247448
r Fe(e,r) exact
0 0 0
0.1 0.0904242132415197 0.090483741803596
0.2 0.163644990857223 0.163746150615596
0.3 0.222116081759952 0.222245466204515
0.4 0.267980978608597 0.268128018414256
0.5 0.303106607606483 0.303265329856317
0.6 0.329126746616725 0.329286981656416
0.7 0.347444125690078 0.347609712653987
0.8 0.359292846696396 0.359463171293777
0.9 0.365740941510675 0.365912693766539
1 0.367705473589608 0.367879441171442
1.1 0.365981220626839 0.366158192067888
1.2 0.361252632954551 0.361433054294643
1.3 0.354105578767083 0.354291330944216
1.4 0.345044849309547 0.345235749518249
1.5 0.334496870424292 0.334695240222645
1.6 0.322829450016398 0.323034428791449
1.7 0.310348853201277 0.310561990889649
1.8 0.29731543711536 0.297537998798856
1.9 0.283945716379363 0.284180376523007
2 0.270426025797043 0.270670566473225
2.1 0.2569051970063 0.257158499331262
2.2 0.243499288453305 0.243766948397134
2.3 0.230317368913022 0.230595340562448
2.4 0.217431451836678 0.21772308789459
2.5 0.204906758510013 0.205212496559747
2.6 0.192790034410715 0.193111303357268
2.7 0.181113286688145 0.181454884397324
2.8 0.169915283804524 0.17026817535061
2.9 0.159197561970992 0.159567338163581
3 0.148976115804354 0.149361205103592
3.1 0.139252081017792 0.139652527420029
3.2 0.130021758309301 0.130439052730772
3.3 0.121279739927082 0.121714452424092
3.4 0.113015380123686 0.113469117865109
3.5 0.105213928437403 0.105690841978115
3.6 0.0978628389037289 0.0983654008102531
3.7 0.0909462036985959 0.0914770479402556
3.8 0.0844469847830228 0.0850089330534291
3.9 0.078347431055701 0.078943454638637
4 0.0726293996210723 0.0732625555549366
4.1 0.0672738266235951 0.067947969147221
4.2 0.062258557497833 0.0629814226460063
4.3 0.0575696257839535 0.058344803752464
4.4 0.053190166757877 0.0540202955735011
4.5 0.0491028228003732 0.0499904844220904
4.6 0.0452850133772246 0.0462384444253145
4.7 0.0417194339453218 0.0427478023779704
4.8 0.0383997857103474 0.0395027858352962
4.9 0.0352983060553151 0.0364882570475293
5 0.0324071174349583 0.0336897349954274
5.1 0.0297120138430482 0.0310934074841298
5.2 0.0271932607649086 0.0286861349879561
5.3 0.0248441500965473 0.0264554477066242
5.4 0.0226503173669076 0.0243895370901085
5.5 0.0205930628498572 0.0224772429115524
5.6 0.0186768892110432 0.0207080368123045
5.7 0.0168714623763144 0.0190720031075863
5.8 0.0151741133825338 0.0175598175231798
5.9 0.0135813262648404 0.0161627244307334
5.99999999999999 0.0120840644804124 0.0148725130599982
6.09999999999999 0.0106581686432818 0.0136814930888635
6.19999999999999 0.00930166088875765 0.0125824699450336
6.29999999999999 0.00800885430157919 0.0115687200952822
6.39999999999999 0.00677220005905056 0.0106339665483132
6.49999999999999 0.00558251526426268 0.00977235475435428
6.59999999999999 0.00443169111082387 0.00897842904781615
6.69999999999999 0.00331200874776867 0.00824710974791238
6.79999999999999 0.00221517244601853 0.00757367100534471
6.89999999999999 0.00113462584543954 0.00695371946043478
6.99999999999999 6.2928374424053E-05 0.00638317375888166
