N error Abs(estim-exact) 1/sqrt(N)
10000 0.276211724277638 0.196397561463691 0.272963872601861
15000 0.228296774515816 0.0537022823103825 0.222874068696211
20000 0.198414625874762 0.0479574325529271 0.193014605335717
25000 0.174231600897433 0.29131403116577 0.172637511272383
30000 0.163429606406875 0.249540386385597 0.157595765325727
35000 0.150875848358146 0.235928945452876 0.145905327177596
40000 0.14015944490403 0.0975037861664632 0.136481936300931
45000 0.133516968823714 0.0159906472054558 0.128676403557145
50000 0.125577690060019 0.0914653670706933 0.122073154907871
55000 0.119163729476683 0.129888881691073 0.116392186355837
60000 0.113736254122138 0.0096658510486165 0.111437034348105
65000 0.110114287759605 0.028043432846367 0.107065239454057
70000 0.106135943574737 0.0812338305635443 0.10317064625852
75000 0.102466661608006 0.0871504137443253 0.0996723136053371
80000 0.0994795839409812 0.0616767122987127 0.0965073026678584
85000 0.0963704887642151 0.10184955168689 0.0936258358924784
90000 0.0932256231317325 0.0753160090881835 0.0909879575339537
95000 0.0908102939307748 0.0540250496611705 0.0885611746616606
100000 0.0898838790112425 0.147321084154619 0.0863187556361913
105000 0.0866967998057577 0.0428195468548402 0.0842384799221857
110000 0.0845489004808407 0.00664514113222303 0.0823017042493405
115000 0.0828551169192776 0.133934639752333 0.0804926546720691
120000 0.0809753933151734 0.0585987837339736 0.0787978826628636
125000 0.0790769961876897 0.0738063331634251 0.0772058421342867
130000 0.077628819907856 0.020533142819458 0.0757065568473254
135000 0.0760241218199283 0.0441889008808083 0.0742913562320703
140000 0.0747664653663158 0.0367033687298495 0.0729526635887982
145000 0.0735540494660065 0.041173232975563 0.0716838248218523
150000 0.072246425903936 0.0261939174882784 0.0704789688468861
155000 0.0709283465761263 0.008111723070229 0.0693328929738004
160000 0.0701390321994745 0.0206952232148758 0.0682409681504653
165000 0.0688426547796473 0.0982108168131397 0.0671990601241114
170000 0.067897072059734 0.0538936031532398 0.0662034634538303
175000 0.0670964352342728 0.0790138769956812 0.0652508459696906
180000 0.0660331579256551 0.00950170406838069 0.0643382017785723
185000 0.0652582416498687 0.00807961893979581 0.0634628113046701
190000 0.0645958343380545 0.108449199774519 0.0626222071531065
195000 0.0637372210158266 0.0826116129871401 0.0618141448196517
200000 0.0628698492470225 0.0292969217524686 0.0610365774539354
205000 0.0616407245864437 0.10242330818436 0.060287634029447
210000 0.0613701998385649 0.108542654654297 0.0595656003898243
215000 0.060118033175814 0.0109304957413414 0.0588689027340175
220000 0.0600879574271973 0.127251405429195 0.0581960931779184
225000 0.0592437768956255 0.0220596361300807 0.0575458370907942
230000 0.0584066973305383 0.0118669893156529 0.0569169019543271
235000 0.0577797823551464 0.0360071992903439 0.0563081475325276
240000 0.0574539593410884 0.0310294037610035 0.0557185171740527
245000 0.0565556914608177 0.0161130721956084 0.0551470300959191
