N error Abs(estim-exact) 1/sqrt(N)
530000 0.0384893481811162 0.0190238030366174 0.0374944714782097
535000 0.0383316598677717 0.0190704132150579 0.0373188523793571
540000 0.0380921503189581 0.0218990058233359 0.0371456781160352
545000 0.0378104906148341 0.0476425898800947 0.0369748924844273
550000 0.0376598205267322 0.0235850074523967 0.0368064410731217
555000 0.0376282104927278 0.00268548180799399 0.0366402711902817
560000 0.0375482050924815 0.0581492499496505 0.0364763317943991
565000 0.0372014404341329 0.0449941734607435 0.0363145734284266
570000 0.0370765902822437 0.0244352566795669 0.0361549481570945
575000 0.0368789549691459 0.00420983405081543 0.0359974095072325
580000 0.0366390239811693 0.0448471052075696 0.0358419124109261
585000 0.0367348228580548 0.0573355996384279 0.0356884131513524
590000 0.0364576226459871 0.000169260628281265 0.0355368693111446
595000 0.0363173904873209 0.0106133651954963 0.035387239723149
600000 0.0362186452279057 0.0279861440539939 0.035239484423443
605000 0.0358698846649767 0.0900367834819491 0.035093564606494
610000 0.0359136210719889 0.0350689579436967 0.0349494425823428
615000 0.0356899923147756 0.0490532132104917 0.0348070817357069
620000 0.0354172296557678 0.0351712826014801 0.0346664464869002
625000 0.0353861460631518 0.00591863968402429 0.0345275022544765
630000 0.0352722921505699 0.015612052829642 0.0343902154195068
635000 0.0351245343269979 0.010466274824859 0.0342545532914061
640000 0.0350232845391469 0.0155017664655048 0.0341204840752326
645000 0.0349775811307582 0.0630681144323972 0.0339879768403829
650000 0.0348867879427832 0.0538071328482737 0.0338570014906144
655000 0.0346923195543278 0.00115223800333197 0.033727528735329
660000 0.0344267352940428 0.0195671033721272 0.0335995300620557
665000 0.0343545819212301 0.0201972092736611 0.0334729777100727
670000 0.0342037675420764 0.0176967808011081 0.0333478446451147
675000 0.03416752617706 0.0312730895032303 0.0332241045351124
680000 0.033994500850446 0.0146118965426822 0.0331017317269152
685000 0.0338253185114435 0.00127385492131182 0.0329807012239496
690000 0.0336084114914378 0.0382181130531176 0.0328609886647703
695000 0.0335838825205489 0.0197318818475782 0.0327425703024607
700000 0.0335293991499908 0.00783964869545173 0.0326254229848453
705000 0.0333785145469228 0.0299531888676547 0.032509524135474
710000 0.0332131127140946 0.00108774655996058 0.0323948517353452
715000 0.0330719623820884 0.0379336395982808 0.032281384305333
720000 0.0331137083775489 0.0528046966925579 0.0321691008892861
725000 0.0328781734011103 0.00788505130439709 0.0320579810377697
730000 0.0326945102624238 0.0524011063101177 0.0319480047924203
735000 0.0327022454994718 0.0296325380138605 0.0318391526708873
740000 0.0325420300873129 0.0375688585010057 0.0317314056523351
745000 0.0323963562615469 0.03172868549599 0.0316247451634808
750000 0.0323004967526305 0.0223777631810229 0.0315191530651454
755000 0.0322908695427162 0.00747870351105462 0.0314146116392953
760000 0.0321180956139823 0.000883096229177482 0.0313111035765532
765000 0.0320131506908284 0.0079251411710537 0.0312086119641595
770000 0.0318849300048423 0.00185728021356013 0.0311071202743633
775000 0.0317077273384486 0.0178281471009072 0.031006612353227
780000 0.0316769910079393 0.0272469130895558 0.0309070724098259
785000 0.0315649335115551 0.0159259768885818 0.030808485005826
790000 0.0314943190882929 0.0134968454784214 0.0307108350454267
795000 0.0315314277121341 0.0656804956325985 0.0306141077656504
800000 0.0312060763709505 0.0506065742956316 0.0305182887269677
805000 0.0311768373010361 0.0177000555681985 0.0304233638042423
810000 0.0311131211103538 0.00779520867836325 0.0303293191779846
815000 0.0310317881849167 0.0279443138821449 0.0302361413259003
820000 0.0309017284300668 0.0205459053756414 0.0301438170147235
825000 0.0308549573353298 0.0140109136801136 0.0300523332923217
830000 0.0306594094034591 0.0564272799787151 0.0299616774800634
835000 0.0306559371720661 0.00940002687330654 0.029871837165437
840000 0.0305419685874801 0.00420772483533938 0.0297828001949122
845000 0.0304718108123105 0.00671425075335819 0.0296945546670334
850000 0.0304699226191086 0.000934624014870877 0.0296070889257375
855000 0.0302042258051941 0.0242704692789744 0.0295203915538869
860000 0.0302504301840199 0.019177402074309 0.0294344513670087
865000 0.0301291108298967 0.00769718645946327 0.0293492574072348
870000 0.0300516870142482 0.00162323454666335 0.0292647989374322
875000 0.0298930661347886 0.0374088935765897 0.0291810654355193
880000 0.0297167709902991 0.038132464400638 0.0290980465889592
885000 0.0297710560844615 0.0159710971803584 0.029015732289425
890000 0.0296801010919631 0.00417573113981362 0.0289341126276299
895000 0.0296534890345015 0.0163546085381476 0.028853177888316
900000 0.0296048452838442 0.0100426976531161 0.0287729185453971
905000 0.0294352735561504 0.00884511378591313 0.0286933252572491
910000 0.0293158846663205 0.0143510407792693 0.0286143888621424
915000 0.0293609850584729 0.0645951831862419 0.0285361003738128
920000 0.0290320650688944 0.0849324022178948 0.0284584509771635
925000 0.0290830378560771 0.025223134744806 0.0283814320240969
930000 0.028997994765688 0.0412998067598842 0.028305035029468
935000 0.0290028902279752 0.0360088266979517 0.0282292516671582
940000 0.028838966827809 0.00840991221776655 0.0281540737662638
945000 0.0288393016031624 0.0131348077425528 0.0280794933073952
950000 0.0287821537161473 0.047673515818726 0.0280055024190839
955000 0.0286174717735601 0.0250835852458646 0.0279320933742928
960000 0.028725249602104 0.0630152637938259 0.0278592585870264
965000 0.0285321712062576 0.0121969903709296 0.0277869906090384
970000 0.0284432546407571 0.0223241119369462 0.0277152821266321
975000 0.0283045342408286 0.0427446552803445 0.0276441259575515
980000 0.0283076155043269 0.00414634248222789 0.0275735150479595
985000 0.0282501025499849 0.00954296631503304 0.0275034424695009
990000 0.0281593749969114 0.029884567459078 0.0274339014164468
995000 0.028141297984282 0.0216141124583125 0.0273648852029183
